Timestamp,Participant_ID,Phase_ID,Mission_Title,Condition,Phase_Label,Title,Round_Count,Chat_Count,Started_At,Ended_At
2026-06-14T23:14:45.344130,66,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,1,2026-06-14T15:14:34.622Z,2026-06-14T15:14:45.339Z
2026-06-14T23:14:59.466755,66,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,1,2026-06-14T15:14:45.412Z,2026-06-14T15:14:59.463Z
2026-06-14T23:15:11.272916,66,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T15:14:59.513Z,2026-06-14T15:15:10.961Z
2026-06-14T23:15:14.714449,66,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-14T15:15:11.336Z,2026-06-14T15:15:14.710Z
2026-06-14T23:15:24.774509,66,voice_restaurant_b_run1_phase_2,語音任務 1,B,Phase 2,語音決策與討論,1,1,2026-06-14T15:15:14.769Z,2026-06-14T15:15:24.769Z
2026-06-14T23:15:32.538451,66,voice_restaurant_b_run1_phase_3,語音任務 1,B,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T15:15:24.838Z,2026-06-14T15:15:32.533Z
2026-06-14T23:15:33.937088,66,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T15:15:32.607Z,2026-06-14T15:15:33.932Z
2026-06-14T23:15:35.959185,66,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T15:15:33.998Z,2026-06-14T15:15:35.954Z
2026-06-14T23:24:42.535370,66,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T15:24:33.586Z,2026-06-14T15:24:42.522Z
2026-06-14T23:25:08.390776,66,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-14T15:24:42.616Z,2026-06-14T15:25:08.388Z
2026-06-14T23:25:25.672067,66,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,1,2026-06-14T15:25:08.518Z,2026-06-14T15:25:25.667Z
2026-06-14T23:25:37.125626,66,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,1,2026-06-14T15:25:25.735Z,2026-06-14T15:25:37.064Z
2026-06-14T23:25:38.233549,66,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T15:25:37.181Z,2026-06-14T15:25:38.229Z
2026-06-14T23:25:39.891891,66,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-14T15:25:38.300Z,2026-06-14T15:25:39.887Z
2026-06-14T23:25:42.495604,66,voice_restaurant_b_run1_phase_2,語音任務 1,B,Phase 2,語音決策與討論,1,1,2026-06-14T15:25:39.954Z,2026-06-14T15:25:42.492Z
2026-06-14T23:25:44.918972,66,voice_restaurant_b_run1_phase_3,語音任務 1,B,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T15:25:42.541Z,2026-06-14T15:25:44.915Z
2026-06-14T23:25:46.052376,66,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T15:25:44.985Z,2026-06-14T15:25:46.049Z
2026-06-14T23:25:46.718621,66,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T15:25:46.097Z,2026-06-14T15:25:46.714Z
2026-06-14T23:50:34.139531,1,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T15:50:32.238Z,2026-06-14T15:50:34.112Z
2026-06-14T23:50:58.340636,1,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-14T15:50:34.292Z,2026-06-14T15:50:58.336Z
2026-06-14T23:51:05.188458,1,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-14T15:50:58.398Z,2026-06-14T15:51:05.141Z
2026-06-14T23:51:19.348323,1,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-14T15:51:05.244Z,2026-06-14T15:51:19.323Z
2026-06-14T23:51:20.809287,1,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T15:51:19.419Z,2026-06-14T15:51:20.804Z
2026-06-14T23:51:22.174238,1,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-14T15:51:20.860Z,2026-06-14T15:51:22.169Z
2026-06-14T23:53:47.681639,1,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-14T15:51:22.239Z,2026-06-14T15:53:47.678Z
2026-06-14T23:53:57.899961,1,voice_restaurant_a_run1_phase_3,語音任務 1,A,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T15:53:47.739Z,2026-06-14T15:53:57.895Z
2026-06-14T23:53:59.132642,1,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T15:53:57.971Z,2026-06-14T15:53:59.128Z
2026-06-14T23:54:00.128477,1,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T15:53:59.188Z,2026-06-14T15:54:00.124Z
2026-06-15T00:25:00.152361,2,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T16:24:52.091Z,2026-06-14T16:25:00.139Z
2026-06-15T00:25:23.679640,2,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-14T16:25:00.205Z,2026-06-14T16:25:23.676Z
2026-06-15T00:25:32.306288,2,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,1,2026-06-14T16:25:23.806Z,2026-06-14T16:25:32.303Z
2026-06-15T00:25:44.970330,2,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,1,2026-06-14T16:25:32.452Z,2026-06-14T16:25:44.966Z
2026-06-15T00:25:45.802578,2,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T16:25:45.123Z,2026-06-14T16:25:45.798Z
2026-06-15T00:25:47.137013,2,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-14T16:25:45.891Z,2026-06-14T16:25:47.134Z
2026-06-15T00:25:59.405879,2,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-14T16:25:47.270Z,2026-06-14T16:25:59.402Z
2026-06-15T00:26:08.173859,2,voice_restaurant_a_run1_phase_3,語音任務 1,A,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T16:25:59.454Z,2026-06-14T16:26:08.170Z
2026-06-15T00:26:09.343286,2,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T16:26:08.227Z,2026-06-14T16:26:09.340Z
2026-06-15T00:26:09.994465,2,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T16:26:09.387Z,2026-06-14T16:26:09.990Z
2026-06-15T00:27:30.631753,9,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T16:27:28.294Z,2026-06-14T16:27:30.627Z
2026-06-15T00:28:04.750279,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,11,1,2026-06-14T16:27:30.690Z,2026-06-14T16:28:04.745Z
2026-06-15T00:28:11.313228,9,text_travel_a_run1_phase_2,文字任務 1,A,Phase 2,大量資訊整理任務,4,1,2026-06-14T16:28:04.804Z,2026-06-14T16:28:11.308Z
2026-06-15T00:28:20.243928,9,text_travel_a_run1_phase_3,文字任務 1,A,Phase 3,突發變更與重新規劃,6,1,2026-06-14T16:28:11.375Z,2026-06-14T16:28:20.215Z
2026-06-15T00:28:20.761066,9,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T16:28:20.302Z,2026-06-14T16:28:20.749Z
2026-06-15T00:28:21.654408,9,voice_restaurant_b_run1_phase_1,語音任務 1,B,Phase 1,情境記憶階段,0,1,2026-06-14T16:28:20.803Z,2026-06-14T16:28:21.650Z
2026-06-15T00:28:35.899441,9,voice_restaurant_b_run1_phase_2,語音任務 1,B,Phase 2,語音決策與討論,2,1,2026-06-14T16:28:21.708Z,2026-06-14T16:28:35.895Z
2026-06-15T00:28:38.920191,9,voice_restaurant_b_run1_phase_3,語音任務 1,B,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T16:28:35.947Z,2026-06-14T16:28:38.916Z
2026-06-15T00:28:40.512538,9,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T16:28:38.962Z,2026-06-14T16:28:40.508Z
2026-06-15T00:28:40.688894,9,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T16:28:40.566Z,2026-06-14T16:28:40.684Z
2026-06-15T00:43:47.373291,9,phase0_baseline,Phase 0｜基準測試,,Phase 0,打字速度與語音節奏基準測試,0,0,2026-06-14T16:42:23.115Z,2026-06-14T16:43:47.213Z
2026-06-15T00:43:48.569925,9,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T16:43:47.440Z,2026-06-14T16:43:48.566Z
2026-06-15T00:44:14.242131,9,text_travel_a_run1_phase_1,文字任務 1,A,Phase 1,初始旅遊規劃,6,1,2026-06-14T16:43:48.627Z,2026-06-14T16:44:14.194Z
