Timestamp,Subject_ID,Chat_ID,Phase_ID,Scenario,Trigger_Type,Recovery_Time_ms,Migration_Time_ms,Tokens,Rounds,Input_Length
2026-06-10T19:28:01.634409,2,chat_1781090875977_4l6uqu,,B,manual,0,0,14,2,6
2026-06-10T19:28:03.874459,2,chat_1781090875977_4l6uqu,,B,manual,0,0,21,3,6
2026-06-10T19:28:09.331590,2,chat_1781090875977_4l6uqu,,B,manual,0,0,28,4,6
2026-06-10T19:28:10.903797,2,chat_1781090875977_4l6uqu,,B,manual,0,0,35,5,6
2026-06-10T19:28:12.866506,2,chat_1781090875977_4l6uqu,,B,manual,0,0,42,6,6
2026-06-10T19:28:14.366735,2,chat_1781090875977_4l6uqu,,B,manual,0,0,49,7,6
2026-06-10T19:28:15.726187,2,chat_1781090875977_4l6uqu,,B,manual,0,0,56,8,6
2026-06-10T19:28:17.381669,2,chat_1781090875977_4l6uqu,,B,manual,0,0,63,9,6
2026-06-10T19:28:27.323238,2,chat_1781084661566_j17bb3,,A,manual,0,0,18,1,6
2026-06-10T19:29:02.380632,2,chat_1781090920025_ntpjss,,A,auto_vad,0,0,207,1,71
2026-06-10T19:29:17.012436,2,chat_1781090920025_ntpjss,,A,manual,0,0,217,2,6
2026-06-14T23:07:36.914596,1,chat_1781449643908_rr0tlq,,B,manual,0,0,26,1,2
2026-06-14T23:14:03.501158,66,chat_1781450035121_qofqdi,,B,manual,0,0,11,1,6
2026-06-14T23:14:08.342765,66,chat_1781450035121_qofqdi,,B,manual,0,0,19,2,6
2026-06-14T23:14:09.848566,66,chat_1781450035121_qofqdi,,B,manual,0,0,27,3,6
2026-06-14T23:14:12.022439,66,chat_1781450035121_qofqdi,,B,manual,0,0,34,4,6
2026-06-14T23:14:13.559949,66,chat_1781450035121_qofqdi,,B,manual,0,0,42,5,6
2026-06-14T23:14:29.161628,66,chat_1781450035121_qofqdi,,B,manual,0,0,49,6,6
2026-06-14T23:14:33.524969,66,chat_1781450035121_qofqdi,,B,manual,0,0,55,6,6
2026-06-14T23:14:38.487835,66,chat_1781450035121_qofqdi,,B,manual,0,0,63,7,6
